,Derived,Derived
GLUt7,0.0,0.0
ILEt6,0.0,0.0
LEUt6,0.0,0.0
TCHOLAabcv,0.0,0.0
NFTYROX,0.0,0.0
2DOXG6PP,0.0,0.0
THIORDXm,0.0,0.0
THIORDXni,0.0,0.0
THIORDXp,-0.010263029146788802,-0.003234805759712826
GCC2bim,0.0,0.0
10FTHFtm,-0.0005872017496408445,-0.0002582612958925207
2OXOADPTm,0.018924594704049075,0.008042098761203454
3HAD100m,0.0,0.0
3HAD120m,0.0,0.0
3HAD140m,0.0,0.0
3HAD160m,0.0,0.0
3HAD180m,0.0,0.0
3HAD40m,0.0,0.0
3HAD60m,0.0,0.0
3HAD80m,0.0,0.0
3M2OBLOXRD1,0.0,0.0
3M2OBLOXRD2,0.0,0.0
3OAR100m,0.0,0.0
3OAR120m,0.0,0.0
3OAR140m,0.0,0.0
3OAR160m,0.0,0.0
3OAR180m,0.0,0.0
3OAR40m,0.0,0.0
3OAR60m,0.0,0.0
3OAR80m,0.0,0.0
3OAS100m,0.0,0.0
3OAS120m,0.0,0.0
3OAS140m,0.0,0.0
3OAS160m,0.0,0.0
3OAS180,0.0,0.0
3OAS60m,0.0,0.0
3OAS80m,0.0,0.0
3SALACBOXL,0.0,0.0
3SALATAi,0.0,0.0
3SPYRSP,0.0,0.0
5HOXINDACTO2OX,0.0,0.0
5HOXINDACTOX,0.0,0.0
5MTHFtm,0.0,0.0
AACOAT,0.0,0.0
AASAD3,0.0,0.0
ACACT10m,0.0,0.0
ACACT1x,0.0,0.0
ACACT2rx,0.0,0.0
ACACT3rx,0.0,0.0
ACGPID,0.0,0.0
ACOAD8m,0.0,0.0
ACOAD9m,0.0,0.0
ACOAH,0.0,0.0
ACODA,0.0,0.0
ACONTx,-9.251973454532064e-08,-3.860999183831128e-08
ACPpds,0.0,-3.2916691952925808e-06
ACPS1,0.0,-3.2916691952925808e-06
ADPRDP,0.0,0.0
AHSERL2,0.003926598333851934,0.0013623339644517319
ALATRSm,0.0,0.0
ALCD19,0.0,0.0
ALDD2x,0.0,0.0
ALKP,0.0,0.0
ALKPv,0.0,0.0
AM6SAD,0.0,0.0
AMCOXO,0.0,0.0
AMPTASECG,-9.251973454531948e-08,-3.86099918393906e-08
APAT2r,0.06821423628057428,0.035480927457742145
APRAUR,0.0,0.0
ASP1DC,0.06822018885690928,0.035484219126937444
ASPO1,0.0,0.0
ASPO6,1.8503946925205954e-07,7.721998368752128e-08
BBHOX,0.0,0.0
BDMT,0.0,0.0
BMTer,0.0,0.0
BPNT2,0.0,0.0
CHTNASE,0.0,0.0
COAtp,0.0,0.0
COAtr,0.0,0.0
CYSO,0.0,0.0
CYSSm,0.0,0.0
CYSTRSm,0.0,0.0
CYTDH,0.0,0.0
CYTDK1,0.0,0.0
DADA,0.0,0.0
DALAOX,0.0,0.0
DALAxt,0.0,0.0
DDPGA,0.0,0.0
DESAT18_10,0.0,0.0
DHAD1,0.0,0.0
DHAD2,0.0,0.0
DHPPDA2,0.0,0.0
DHPS,0.0,0.0
DOLASNT,0.0,0.0
DOLPGT1,0.0,0.0
DOLPGT2,0.0,0.0
DOLPGT3,0.0,0.0
DOLPHer,0.0,0.0
DOLPMT1,0.0,0.0
DOLPMT2,0.0,0.0
DOLPMT3,0.0,0.0
DOLPMT4,0.0,0.0
EAR100ym,0.0,0.0
EAR120ym,0.0,0.0
EAR140ym,0.0,0.0
EAR160ym,0.0,0.0
EAR180xm,0.0,0.0
EAR40ym,0.0,0.0
EAR60ym,0.0,0.0
EAR80ym,0.0,0.0
ECOAH1,0.0,0.0
ECOAH12m,0.0,0.0
ECOAH1x,0.0,0.0
ECOAH2p,0.0,0.0
ECOAH3x,0.0,0.0
ECOAH9ir,0.0,0.0
ETFQO,0.0,0.0
FACOAE160,0.0,0.0
FACOAE180,0.0,0.0
FACOAL180,0.0,0.0
FACOAL183,0.0,0.0
FADDP,0.0,0.0
FALDH2,0.0,0.0
FALGTHLs,0.0,0.0
FEROc,0.0,0.0
FOLD3,0.0,0.0
FOMETR,0.0,0.0
FRDO,0.0,0.0
FTCD,0.0,0.0
FTHFDH,0.0,0.0
FTHFDHm,0.0,0.0
G12MT1,0.0,0.0
G12MT2,0.0,0.0
G13MT,0.0,0.0
G16MT,0.0,0.0
GHMT3,0.0,0.0
GLCNACPT,0.0,0.0
GLCNACT,0.0,0.0
GLNtm,1.8503946925205954e-07,0.0
GLNTRAT,0.0,0.0
GLNTRATm,0.0,0.0
GLNTRSm,0.0,0.0
GluForTx,0.0,0.0
GLUSy,0.0,0.0
GLUTCOADHc,0.0,0.0
GLYO,0.0,0.0
GLYtm,0.0005879419075172053,0.0002585701758272381
GLYTRSm,0.0,0.0
GNK,0.0,0.0
GPDDA2,0.0,0.0
GPIMTer,0.0,0.0
GTHRDHpp,-9.251973454531948e-08,-3.86099918393906e-08
GUACYC,0.0,0.0
H2ETer,0.0,0.0
H5MTer,0.0,0.0
H6ET3er,0.0,0.0
H6MTer,0.0,0.0
H6MTg,0.0,0.0
HACD1,0.0,0.0
HACD1x,0.0,0.0
HACD2x,0.0,0.0
HACD3x,0.0,0.0
HACD9m,0.0,0.0
HACDp20,0.0,0.0
HACDp22,0.0,0.0
HACDp24,0.0,0.0
HIBDm,0.0,0.0
HISD,0.0,0.0
HMGLm,0.0,0.0
HSERTAm,0.003926598333851934,0.0013623339644517319
HXAND,0.0,0.0
IZPN,0.0,0.0
KAS14m,0.0,0.0
KATp20,0.0,0.0
KATp22,0.0,0.0
KATp24,0.0,0.0
KYNAKGAT,0.0,0.0
LFORKYNHYD,0.0,0.0
LPASE,0.0,0.0
lplipa2,0.0,0.0
LTA4H,0.0,0.0
LYSMTF1n,0.0,0.0
LYSMTF2n,0.0,0.0
LYSMTF3n,0.0,0.0
M4BET2er,0.0,0.0
M4CET3er,0.0,0.0
MAN1PT2,0.041234492223496684,0.017527209633679663
MAOX,0.0,0.0
MCCCrm,0.0,0.0
MCITD,0.0,0.0
ME1,0.0,0.0
MG1er,0.0,0.0
MG2er,0.0,0.0
MG3er,0.0,0.0
MGCHrm,0.0,0.0
MI13PP,0.0,0.0
MI145P6Kc,0.0,0.0
MI145PP,0.0,0.0
MI14PP,0.0,0.0
MI3PP,0.00027312288789884586,0.00017980927911038868
MI4PP,0.0,0.0
MICITDm,0.0,0.0
MM8Ber,0.0,0.0
MMSAD3,0.06821423628057428,0.035480927457742145
MMTSAO,0.0,0.0
MTAN,0.0,0.0
MTRK,0.0,0.0
NADDP,0.0,0.0
NADDPm,1.8503946925205954e-07,-7.721998368752128e-08
NADS2m,1.8503946925205954e-07,0.0
NICRNS,0.0,-7.721998368752128e-08
NICRNSm,0.0,0.0
NODOx,0.0,0.0
NP1,0.0,7.721998368752128e-08
NTP1,0.0,0.0
NTP1er,0.0,0.0
NTP1g,0.0,0.0
NTP1m,0.0,0.0
NTP3v,0.0,0.0
NTPP1,0.0,0.0
OPAHir,0.0,0.0
P5CRm,0.01345077809000244,0.005323503491281089
PCLAD,0.0,0.0
PDHa1,0.7562091508749528,1.4711496750655775
PDHa2,0.7443275807126774,1.4666912568771058
PI4PP,0.0,0.0
PIACGT,0.0,0.0
PIPLC,0.0,0.0
pla2_2,0.0,0.0
plipa2,0.0,0.0
PPAtm,0.0,0.0
PPItx,0.0,0.0
PPNCL3,0.0,3.2916691952925808e-06
PROAKGOX1r,0.0,0.0
PROTRSm,0.0,0.0
PUTA3,-0.01345077809000244,-0.005323503491281089
SBTPD,0.0,0.0
SERTRSm,0.0,0.0
SPMDOX,0.0,0.0
SPODM,0.0,0.0
SPODMm,0.0,0.0
St,0.0,0.0
SUCCtp,-9.251973454532064e-08,-3.860999183831128e-08
THFtm,0.0005872017496408445,0.0002582612958925207
TMABADH,0.0,0.0
TMLYSOX,0.0,0.0
TRPS2,0.0,0.0
TRPS3r,0.0,0.0
UDPDOLPT,0.0,0.0
UDPGP,0.0,0.0
URCN,0.0,0.0
UREAt,0.0,0.0
VALt5m,0.0,0.0
VPAMT,0.0,0.0
XAND,0.0,0.0
XAO2,0.0,0.0
ABTDG,0.0,0.0
ASNtm,0.0,0.0
3HBCOAHLm,0.0,0.0
GLNFRDOX,0.0,0.0
FCYTB5R,0.004617724601159594,0.002563410652324891
NADHKm,0.0,0.0
OSUCCCL,0.0,0.0
OSUCCCLm,0.0,0.0
ACOAO20p,0.0,0.0
ACOAO22p,0.0,0.0
ACOAO24p,0.0,0.0
ACOAO04p,0.0,0.0
ACOAO06p,0.0,0.0
ACOAO08p,0.0,0.0
GTP89H,9.251973454532064e-08,3.860999183831128e-08
ICLx,-9.251973454532064e-08,-3.860999183831128e-08
PAPSH,0.0,0.0
TRNAALAMET,0.0,0.0
TRNAGUAMETc,0.0,0.0
TRNAGUAMETm,0.0,0.0
AKGDH1,0.0,0.0
TRPOX,0.0,0.0
ETHAMPPL,0.0,0.0
SO3FDXRD,0.0,0.0
CYSTH2SS,0.003913311035224464,0.0015358530388582855
FOLR,0.0,0.0
NFORAH,0.0,0.0
E3MMALOR,0.011881570162275416,0.004458418188471738
DOLPPP,0.0,0.0
TRNADMPPT,0.0,0.0
HISTD,0.005206468051521641,0.0028493890342952705
INOSTK1,0.0,0.0
PCH,0.0,0.0
AGL_PP,0.0,0.0
PAL_PP,0.0,0.0
BDGLC1R,0.0,0.0
GLCISO,0.0,0.0
HYPTAURDH,0.0,0.0
HXDCALOR,0.0,0.0
DHORDm,0.0,0.0
ICDOXSUC,0.0,0.0
ICDOXSUCm,0.0,0.0
2OXOADOX,0.0,0.0
PGH,0.0,0.0
PETH,0.0,0.0
PEH,0.0,0.0
URATEHO,0.0,0.0
OLIGOPK,0.0,0.0
FCYTDESAT18,0.004617724601159594,0.002563410652324891
FAOXC183806x,0.0,0.0
FOLR2m,0.0,0.0
CHTNDAe,0.0,0.0
NARGNHOX,0.0,0.0
FICYTCS,0.0,0.0
4HPHACR,0.0,0.0
PDHbrm,0.7443275807126774,1.4666912568771058
GALURUT,0.0,0.0
3OASTO,0.0,0.0
3M2OBLOXRD3,0.0,0.0
ECOAH9p,0.0,0.0
ECOAH10p,0.0,0.0
ECOAH12p,0.0,0.0
SBTK6,0.0,0.0
GGLUCTC,0.0,0.0
HISTD1,0.005206468051521641,0.0028493890342952705
RNAUUM,0.0,0.0
TRNAPSURI,0.0,0.0
TRNAPSURIm,0.0,0.0
4NPHPP,0.0,0.0
PTPPALDHT,0.0,0.0
MCPSULT,0.0,0.0
ARDENDR,0.0,0.0
13DAMPPO,0.0,0.0
ACOAD10NADm,0.0,0.0
3MOPDH3,0.0,0.0
AKGDH2,0.0,0.0
LANOSTD24,0.0,0.0
ARGTRNATR,0.0,0.0
CITCONH,0.011881570162275416,0.004458418188471738
E3MMALH,0.011881570162275416,0.004458418188471738
ALLTNISOR,0.0,0.0
4MOPDH3,0.0,0.0
GLUAATRANS,0.0,0.0
ASPTRNAQL,0.0,0.0
ASPTRNAQLm,0.0,0.0
NTMELYSH,0.0,0.0
LPEAT_PP,0.0,0.0
OXPTPH,9.251973454532064e-08,3.860999183831128e-08
ALACPYRL,0.011881570162275416,0.004458418188471738
4HTHBDH,0.0,0.0
BTNCBXLH,0.0,0.0
UPPDC2,0.0,0.0
FAPTPAH,9.251973454532064e-08,3.860999183831128e-08
25DAPTPM,9.251973454532064e-08,3.860999183831128e-08
3H3M2OPR,0.011881570162275416,0.004458418188471738
3H3M2OPS,0.011881570162275416,0.004458418188471738
BTNAPOCL,0.0,0.0
DHDPP,0.0,0.0
GPIAT,0.0,0.0
CERASE224,0.0,0.0
CERASE226,0.0,0.0
5HIURATEH,0.0,0.0
OHCUREIMDZLNCAR,0.0,0.0
PAOX,0.0,0.0
4HPHACS,0.0,0.0
MI3PS,0.00027312288789884586,0.00017980927911038868
DKMPPDb,0.0,0.0
DKMPPDa,0.0,0.0
CITMALS,0.011881570162275416,0.004458418188471738
CYSST,0.0,0.0
4MOPDH1,0.0,0.0
4MOPDH2,0.0,0.0
3MOPDH1,0.0,0.0
3MOPDH2,0.0,0.0
OGLYCOS,0.0,0.0
OACPN6OT,0.0,0.0
PN6OLST,0.0,0.0
OACPSST,0.0,0.0
LPACPN6LPT,0.0,0.0
LPTAYYLT,0.0,0.0
LPPROTL,0.0,0.0
SERSECTRSm,0.0,0.0
SERSECTRS,0.0,0.0
APCADVS,0.0,0.0
SLD,0.0,0.0
DOLPMT5,0.0,0.0
IND3ACS,0.0,0.0
16MANASE,0.0,0.0
AGPGAT,0.0,0.0
AGPGS,0.0,0.0
MLCLPNAT,0.0,0.0
CLPNAH,0.0,0.0
DAHSS,0.0,0.0
Coq1,0.0,0.0
TRNADHUS,0.0,0.0
STEROLS,0.0,0.0
GLYCERIDES,0.0,0.0
LIPIDS,0.0,0.0
PI1456PP,0.0,0.0
ALTOX,0.0,0.0
G15LACH,0.0,0.0
L_LACDm,0.0,0.0
PMTCOAtr,0.0,0.0
ACter,0.0,0.0
PIt2er,0.0,0.0
ATPter,0.0,0.0
ADPter,0.0,0.0
PTD1INOter,0.0,0.0
CDPter,0.0,0.0
UDPGLCtr,0.0,0.0
CTPter,0.0,0.0
ATPter_H,0.0,0.0
GDPMANter,0.0,0.0
H2O2ter,0.0,0.0
LCYSTINter,0.0,0.0
UMPter,0.0,0.0
NO3t,0.0,0.0
ACPt,0.0,0.0
CHITINt,0.0,0.0
CHITOSt,0.0,0.0
D_LACt,0.0,0.0
growth,0.09251973454531949,0.0386099918393906
L_LACt,0.0,0.0
PIt2g,0.0,0.0
ATPtg_H,0.0,0.0
GTHOXtm,0.0,0.0
H2Stm,0.0,0.0
NCAMtm,0.0,0.0
ACHMStm,-0.003926598333851934,-0.0013623339644517319
HOMtm,-0.003926598333851934,-0.0013623339644517319
OROTtm,0.0,0.0
METtm,0.0,0.0
TRPtm,0.0,0.0
TYRtm,0.0,0.0
CYStm,0.0,0.0
Stm,0.0,0.0
1PYR5Ctm,0.01345077809000244,0.005323503491281089
4MOPtm,-0.021668095049790663,-0.007778326337278438
METHFtm,0.0,0.0
GTHRDtm,0.0,0.0
ACSERtm,0.0,0.0
ACORNtm,0.0,0.0
ACACtm,0.0,0.0
NADtm,0.0,-7.721998323756011e-08
MALSUCCtm,0.0,3.860999183831128e-08
AKGMALtm,1.3384465736394708,1.6150049343593194
FEt1m,9.251973454531948e-08,3.86099918393906e-08
DHORtm,0.0,0.0
THRtm,0.0,0.0
2HETHPPtm,0.0,0.0
2MOPtm,0.0,0.0
ACCOAtm,0.0,0.0
ALACtm,0.0,0.0
CBPtm,0.0,0.0
CPPPG3tm,0.0,0.0
HCITtm,0.0,0.0
LCADtm,0.0,0.0
LKYNRtm,0.0,0.0
SERtm,0.0,0.0
TTC_GGDPtm,0.0,0.0
23DHMPtm,0.0,0.0
CRNCAR8tp,0.0,0.0
B2COAtp,0.0,0.0
CITtp,-9.251973454532064e-08,-3.860999183831128e-08
AKGMALtp,0.0,0.0
FA183COAabcp,0.0,0.0
FA240COAabcp,0.0,0.0
FA260COAabcp,0.0,0.0
DHAtv,0.0,0.0
GTPGDPtv,0.0,0.0
MANtv,0.0,0.0
GTPtv,0.0,0.0
DHAPtv,0.0,0.0
ODCALOR,0.0,0.0
34HPPOR,0.0,0.0
ASPGLUtp,0.0,0.0
CO2tg,0.0,0.0
CRNCARtp,0.0,0.0
DHFtm,0.0,0.0
FLDO,0.0,0.0
FTHFCLm,0.0,0.0
FUMAC,0.0,0.0
G5SADsm,0.01345077809000244,0.005323503491281089
GLUN,0.0,0.0
HGNTOR,0.0,0.0
MACACI,0.0,0.0
NADN,0.0,0.0
NADPPPS,-9.251973452514337e-08,0.0
NH4tp,0.0,0.0
NTD1,0.0,0.0
NTD11,0.0,0.0
NTD6,0.0,0.0
NTD8,0.0,0.0
NTD9,0.0,0.0
NTP3,0.0,0.0
P5CDm,0.0,0.0
PEtg_SC,0.0,0.0
PROtm,0.0,0.0
PStg_SC,0.0,0.0
QULNS,1.8503946925205954e-07,7.721998368752128e-08
SERAT,0.0,0.0
PHOSPHOLIPIDS,0.0,0.0
PROTEINS,0.0,0.0
CARBOHYDRATES,0.0,0.0
RNA,0.0049683226092477,0.0013003670747996545
DNA,0.0007460803552288944,0.00010364516177190962
COF,0.09251973454531949,0.0386099918393906
Consensus,0.0,0.0
HEXDPtm,0.0,0.0
PItv,0.0,0.0
ACACT9p,0.0,0.0
ACOAO9p,0.0,0.0
CERS124,0.0,0.0
CERS126,2.1413987223446465e-06,1.0521235435293655e-06
CERS224,3.1690445533974166e-06,1.837432625471916e-06
CERS226,0.0,0.0
FA182COAabcp,0.0,0.0
LGTHL,0.0,0.0
PDE1,0.0,0.0
PDE4,0.0,0.0
TREHe,0.0,0.0
PSERDv_PP,0.0,0.0
MNTt,0.0,0.0
METOHte,0.0,0.0
ACPtm,0.0,0.0
METOHtx,0.0,0.0
O2tx,0.005131514573394401,0.001617402879856413
PStv_PP,0.0,0.0
PEtv_PP,0.0,0.0
CDPDGPm_PP,0.00010998266283309096,3.951633218537305e-05
13BGH,0.0,0.0
13GS,0.19367730677892428,0.09573880553207374
2DHPtm,0.0,0.0
3C3HMPtm,-0.021668095049790663,-0.007778326337278438
3DSPHR,9.77561930787469e-06,5.643583787002794e-06
3HAO,0.0,0.0
3MOBtm,-0.01545955003113006,-0.005871388624746407
3MOPtm,0.0,0.0
4HBZtm,9.251973454490028e-08,3.8609991839479e-08
5AOPtm,-7.401578763625558e-07,-3.088799347151248e-07
AATA,0.018924594704049075,0.008042098761203454
ABTA,0.0,0.0
L_ABTt,0.0,0.0
ABUTDm,0.0,0.0
ACACT1,0.0,0.0
ACACT4p,0.0,0.0
ACACT5p,0.0,0.0
ACACT6p,0.0,0.0
ACACT7p,0.0,0.0
ACACT8p,0.0,0.0
ACALDtm,0.0,0.0
ACCOACr,0.04614801748628788,0.025620749900393532
ACGAM6PS,0.00822577907019038,0.0034964939030931613
ACGAMPM,0.00822577907019038,0.0034964939030931613
ACGKm,0.020121635392913707,0.00916956848317578
ACGSm,0.0,0.0
ACLSm,0.037127645080920715,0.013649714962024845
ACOAO4p,0.0,0.0
ACOAO5p,0.0,0.0
ACOAO6p,0.0,0.0
ACOAO7p,0.0,0.0
ACOAO8p,0.0,0.0
ACOATA,0.005885467895672542,0.0032675994302354475
ACOATAm,0.0,0.0
ACONT,0.0,0.0
ACONTm,0.6664435032465681,1.4318552023503972
ACOTAim,0.020121635392913707,0.00916956848317578
ACS,0.003926598333851934,0.0013623339644517319
ACtm,0.0,0.0
ADCL,9.251973454532064e-08,3.860999183831128e-08
ADCS,9.251973454532064e-08,3.860999183831128e-08
ADK1m,3.7007893850411907e-07,-7.721998368752128e-08
ADMDC,0.0,0.0
ADNCYC,0.0,0.0
ADNK1,0.004241037165014086,0.0022052977530679567
ADPT,0.0,0.0
ADSK,0.007839909369076399,0.0028981870033100176
ADSL1r,0.01029546694940519,0.004095475936286811
ADSL2r,0.009087393764381951,0.0022314841171299877
ADSS,0.01029546694940519,0.004095475936286811
AGAT_PP,0.002781803250357906,0.0015026936854811207
AGPRim,0.020121635392913707,0.00916956848317578
AHCi,0.004241037165014086,0.0022052977530679567
AHCYStm,-2.775592036351212e-07,-1.1582997551843701e-07
AICART,0.014293861815903594,0.005080873151425257
AIRCr,0.009087393764381951,0.0022314841171299877
AKGDbm,0.563213333999217,1.399558442932051
AKP1,9.251973454532064e-08,3.860999183831128e-08
ALASm,7.401578763625558e-07,3.088799347151248e-07
ALATA_L,-0.026958525037768067,-0.009338923477136952
ALATRS,0.0,0.0
ALCD19y,0.0,0.0
ALCD2x,0.0,0.0
ALDD19x,0.0,0.0
ALDD2xm,0.0,0.0
ALLTAHr,0.0,0.0
ALLTNr,0.0,0.0
ALLTNti,0.0,0.0
ALPHNH,0.0,0.0
AMETtm,2.775592036351212e-07,1.1582997551843701e-07
AMID3,0.0,0.0
AMPDA,0.0,0.0
ANPRT,0.007603618945463511,0.002741380328722235
ANS,0.007603618945463511,0.002741380328722235
AP4AHr,0.0,0.0
ARGN,0.0,0.0
ARGSL,0.020121635392913707,0.00916956848317578
ARGSSr,0.020121635392913707,0.00916956848317578
ARGTRS,0.0,0.0
ARGTRSm,0.0,0.0
ASADi,0.02218585410563485,0.008713365981945333
ASNN,0.0,0.0
ASNS1,0.015414131585825715,0.006432116075203523
ASNTRS,0.0,0.0
ASNTRSm,0.0,0.0
ASPCT,0.008858802049010302,0.0021698343797330456
ASPKi,0.02218585410563485,0.008713365981945333
ASPTA,1.0335752537606597,1.494321635462256
ASPTAm,-1.2032131988369306,-1.5690801882693253
ASPTAp,0.0,0.0
ASPTRS,0.0,0.0
ASPTRSm,0.0,0.0
ATP2tp_H,0.0,0.0
ATPATF1,0.0,0.0
ATPM,0.6300347720114954,18.66853673248823
ATPPRT,0.005206468051521641,0.0028493890342952705
ATPS3m,10.450193241484143,20.46889049531239
ATPS3v,0.0,0.0
ATPtp_H,0.0,0.0
BACCL,0.0,0.0
BPNT,0.007839909369076399,0.0028948953341147252
BTSr,0.0,0.0
C14STR,0.0018535120301628018,0.000980702171884093
C22STDS,0.0,0.0
C24STRer,0.0018491323777182608,0.0009592565180699634
C3STDH1,0.0018535120301628018,0.000980702171884093
C3STKR1,0.0018535120301628018,0.000980702171884093
C4STMO1,0.0018535120301628018,0.000980702171884093
C5STDS,0.0018491323777182608,0.0009592565180699634
C8STI,0.0018491323777182608,0.0009592565180699634
CATp,0.005131514573394401,0.001617402879856413
CBPS,0.02898043744192401,0.011339402862908826
CHLPCTD,0.0,0.0
CHOLK,0.0,0.0
CHORM,0.017534479399860425,0.0064174395264839194
CHORS,0.025138283384793025,0.009158897075189831
CHRPL,9.251973454490028e-08,3.8609991839479e-08
CHTNS,0.00822577907019038,0.0034964939030931613
CITtam,0.0184741115564301,0.008966891150090354
CITtcm,0.0,0.0
CLPNSm_PP,0.0,0.0
CO2t,-2.30371185888009,-4.4513192649239794
CO2tm,-2.0798321122214105,-4.337939826440126
CO2tv,0.0,0.0
CPPPGO,9.251973454531948e-08,3.86099918393906e-08
CRNCARtm,0.0,0.0
CSm,0.6664434107268336,1.4318551637404053
CSNATm,0.0,0.0
CSNATp,0.0,0.0
CSNATr,0.0,0.0
CSND,0.0,0.0
CSp,0.0,0.0
CTPS1,0.0038623739964291815,0.0010109053639492517
CYSS,0.0,0.0
CYSTGL,0.0,0.0
CYSTL,0.0,0.0
CYSTRS,0.0,0.0
CYSTS,0.0,0.0
CYTD,0.0,0.0
CYTDK2,0.0,0.0
CYTK1,-0.0012756480672005371,0.00024444890981405865
CYTK2,0.0,0.0
DADK,-0.0007136258597764375,-9.913659723483156e-05
DAGCPT_PP,0.0,0.0
DAGPYP_PP,0.00020102989746428128,0.00024733941171781036
DAGPYPer_PP,0.0,0.0
DB4PS,3.700789381812779e-07,1.544399673575624e-07
DCMPDA,-0.0004979340290797641,-6.917278096657248e-05
DDPA,0.00666426434809747,0.000192044535091315
DGK1,-0.0004979340290797641,-6.917278096657248e-05
DHAD1m,0.03712764508092072,0.013649714962024845
DHAD2m,0.011881570162275416,0.004458418188471738
DHAK,0.0,0.0
DHAPtm,0.0,0.0
DHFRi,0.0007137183795109828,9.917520722666986e-05
DHFS,9.251973454532064e-08,3.860999183831128e-08
DHNPAm,9.251973454532064e-08,3.860999183831128e-08
DHORTS,-0.008858802049010302,-0.0021698343797330456
DHQS,0.025138283384793025,0.009158897075189831
DHQTi,0.025138283384793025,0.009158897075189831
DIPS,0.0,0.0
D_LACDm,0.0,0.0
D_LACt2,0.0,0.0
DMATT,0.0037071165800601487,0.0019614429537600257
DOLPMTcer,0.04123386686717176,0.01752708926714367
DPCOAK,5.9525763350002005e-06,0.0
DPMVD,0.011121627299384079,0.005884444691255594
DPR,5.9525763350002005e-06,3.2916691952925808e-06
DTMPK,0.0,0.0
DURIPP,0.0,0.0
DUTPDP,0.0,0.0
ECOAH11p,0.0,0.0
ECOAH4p,0.0,0.0
ECOAH5p,0.0,0.0
ECOAH6p,0.0,0.0
ECOAH7p,0.0,0.0
ECOAH8p,0.0,0.0
EHGLAT,0.0,0.0
ENO,1.145341657396289,1.6193818758256682
ETHAK,0.0,0.0
ETHAPT_PP,0.0,0.0
ETOHt,0.0,0.0
ETOHtm,0.0,0.0
FA120ACPH,0.0,0.0
FA140ACPH,0.0,0.0
FA140COAabcp,0.0,0.0
FA160ACPH,5.536756606898941e-07,3.802179968392747e-07
FA160COAabcp,0.0,0.0
FA180ACPH,0.0,2.3738096211622374e-06
FA180COAabcp,0.0,0.0
FA181COAabcp,0.0,0.0
FACOAL160,0.0,0.0
FACOAL181,0.0,0.0
FACOAL182,0.0,0.0
FADFMNtm,0.0,7.721998259297905e-08
FBA,0.5661938942646851,0.804614825835716
FBP,0.0,0.0
FBP26,0.0,0.0
FCLTm,9.251973454531948e-08,3.86099918393906e-08
FDH,0.001854159668304619,0.0009809724418269677
FE2t,9.251973454531948e-08,3.86099918393906e-08
FKYNH,0.0,0.0
FMETTRSm,0.0,0.0
FMNAT,9.251973454531948e-08,1.1582997443236965e-07
FORt,0.0,0.0
FRTT,9.251973454490028e-08,3.8609991839479e-08
FTHFCL,0.0,0.0
FTHFLi,0.0,0.0
FUM,0.0395044035869663,0.015496528536592582
FUMm,0.5632125938413407,1.3995580954421243
G3PD1ir,0.0028917859131909972,0.0015422100176664937
G3PD1irm,0.0,0.0
G3PDm,0.0,0.0
G3PT,0.0,0.0
G5SADr,0.0,0.0
G5SD,0.0,0.0
G6PDH2,0.3098283925642425,0.1275819586664068
GALU,0.24078426147499532,0.11056743868803859
GAPD,1.2133644324774642,1.6435193597612359
GARFTi,0.009087393764381951,0.0022314841171299877
GAT2_PP,0.0,0.0
GCCam,0.0,0.0
GCCbim,0.0,0.0
GCCcm,0.0,0.0
GF6PTA,0.00822577907019038,0.0034964939030931613
GHMT2r,0.031681267765622155,0.01072415595661254
GHMT2rm,0.0,0.0
GK1,0.0004982115882834002,0.0
GLCGSD,0.0,0.0
GLCP,0.0,0.0
GLCS2,0.03597671618684628,0.0034558752808422073
GLCtv,0.0,0.0
GLNS,0.11295708146869077,0.03717790662350271
GLNTRS,0.0,0.0
GLPT,0.0,0.0
GLU5K,0.0,0.0
GLUCYS,0.0,0.0
GLUDC,0.0,0.0
GLUDxi,0.0,0.0
GLUDyi,0.41042561837719727,0.14963412946683827
GLUPRT,0.009087393764381951,0.0022314841171299877
GLUSx,0.0,0.0
GLUTRS,0.0,0.0
GLUTRSm,0.0,0.0
GLYC3Ptmc,0.00010998266283309096,3.951633218537305e-05
GLYCt,0.0,0.0
GLYK,0.0,0.0
GLYOX,0.0,0.0
GLYTRS,0.0,0.0
GMPS2,0.003998394866498405,0.0009853972151384462
GND,0.3098283925642425,0.1275819586664068
GPDDA1,0.0,0.0
GRTT,0.0037071165800601487,0.0019614429537600257
GTHO,0.0,0.0
GTHOm,0.0,0.0
GTHPm,0.0,0.0
GTHS,0.0,0.0
GTPCII,1.8503946909063896e-07,7.72199836787812e-08
GTPH1,0.0,0.0
GUAD,0.0,0.0
GUAPRT,0.0,0.0
H2Ot,-3.5224969824830286,-4.908905344624646
H2Otm,-13.662456338831234,-26.42804505344171
H2Otp,0.010263029146788802,0.003234805759712826
H2Otv,0.0,0.0
HACD10p,0.0,0.0
HACD4p,0.0,0.0
HACD5p,0.0,0.0
HACD6p,0.0,0.0
HACD7p,0.0,0.0
HACD8p,0.0,0.0
HACNHm,0.018924594704049075,0.008042098761203454
HCITSm,0.018924594704049075,0.008042098761203454
HCYSMT,0.0,0.0
HETZK,0.0,0.0
HEX1,1.0,1.0
HEX4,0.0,0.0
HEX7,0.0,0.0
HISTP,0.005206468051521641,0.0028493890342952705
HISTRS,0.0,0.0
